State,Red,Orange,Green,Total
Andaman and Nicobar,1,0,2,3
Andhra Pradesh,5,7,1,13
Arunachal Pradesh,0,0,25,25
Assam,0,3,30,33
Bihar,5,20,13,38
Chandigarh,1,0,0,1
Chhattisgarh,1,1,25,27
Dadra and Nagar Haveli,0,0,1,1
Daman and Diu,0,0,2,2
Delhi,11,0,0,11
Goa,0,0,2,2
Gujarat,9,19,5,33
Haryana,2,18,2,22
Himachal Pradesh,0,6,6,12
Jammu and Kashmir,4,12,4,20
Jharkhand,1,9,14,24
Karnataka,3,13,14,30
Kerala,2,10,2,14
Ladakh,0,2,0,2
Lakshadweep,0,0,1,1
Madhya Pradesh,9,19,24,52
Maharastra,14,16,6,36
Manipur,0,0,16,16
Meghalaya,0,1,10,11
Mizoram,0,0,11,11
Nagaland,0,0,11,11
Odisha,3,6,21,30
Puducherry,0,1,3,4
Punjab,3,15,4,22
Rajasthan,8,19,6,33
Sikkim,0,0,4,4
Tamil Nadu,12,24,1,37
Telangana,6,18,9,33
Tripura,0,2,6,8
Uttar Pradesh,19,36,20,75
Uttarakhand,1,2,10,13
West Bengal,10,5,8,
